Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
18,08-02-1979,18,,0,Near Agudos,Brazil,,"Near Agudos, Brazil",1,TAM Lineas Aéreas Regional,PP-SBB,Bauru - Sao Paulo,Hit trees and burst into flames shortly after taking off.,,18,Embraer 110C Bandeirante,100-010,BR,-14.235004,-51.92528,Brazil
,26-12-1936,,,,Nanking,China,,"Nanking, China",1,China National Aviation Corporation,NC14269,,,,,Douglas DC-2,,CN,35.86166,104.195397,China
19,19-12-1979,19,,0,Cerro Toledo Mountain,Colombia,,"Cerro Toledo Mountain, Colombia",1,SATENA,FAC-1106,Arauca - Bogota,Flew into a mountain.,,19,Douglas DC-4 (C-54),10853,CO,4.570868,-74.297333,Colombia
5,27-07-1927,5,,0,Amoneburg,Germany,,"Amoneburg, Germany",1,Deutsche Lufthansa,D-206,,Engine failure.,,5,Junkers F-13,591,DE,51.165691,10.451526,Germany
23,14-03-1947,23,,0,Mt. Moucherolles,France,,"Mt. Moucherolles, France",1,Air France,F-BAXO,Lyons - Nice - Paris,"Flew into 4,000 foot Mt. Moucherolles, 25 miles south of Grenoble. The crash started an avalanche which buried most of the wreckage.",30-12-1899 14:00:00,23,Douglas DC-3 (C-47A-90-DL),20488,FR,46.227638,2.213749,France
39,07-09-1974,35,,0,Tandjung-karang,Indonesia,,"Tandjung-karang, Indonesia",1,Garuda Indonesia Airlines,PK-GFJ,,Crashed into a building while landing during poor weather conditions. The plane was blown against the building by a strong gust of wind.,,35,Fokker F-27 Friendship 600,10422,ID,-0.789275,113.921327,Indonesia
9,30-04-1952,9,,0,Delhi,India,,"Delhi,  India",1,Deccan Airways,VT-AUN,Madras - Delhi,Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it.,,9,Douglas DC-3,13405,IN,20.593684,78.96288,India
7,15-04-1936,7,,0,Near Turin,Italy,,"Near Turin, Italy",1,Avio Linee Italiane,I-AAXZ,Turin - Milan,"Crashed on the slopes of Mount Basso, 20 miles from Turin.",,7,OFM F-VIIb/3m,359,IT,41.87194,12.56738,Italy
17,16-12-1949,17,,0,Orizaba,Mexico,,"Orizaba, Mexico",1,Mexicana,XA-DUK,Mexico City - Merida,Crashed into a mountain while en route.,,17,Douglas DC-3,11721,MX,23.634501,-102.552784,Mexico
4,26-08-1988,4,,0,Irkutsk,Russia,,"Irkutsk, Russia",1,Aeroflot,CCCP-67235,Kirensk - Irkutsk,"The crew failed to set the altimeters to the proper setting while landing. The plane descended until it contacted trees, broke up and caught fire. Crew fatigue was a factor.",30-12-1899 23:20:00,4,Let 410MU,770801,RU,61.52401,105.318756,Russia
9,31-10-1978,9,,0,Belém,Brazil,,"Belém, Brazil",1,Taxi Aéreo Kovacs,PT-JXL,,,,9,Cessna 402,,BR,-14.235004,-51.92528,Brazil
6,05-03-1936,0,,0,Near Tengya,China,,"Near Tengya, China",1,China National Aviation Corporation,,,Crash landed in mountains during a snowstorm.,,0,Ford 5-AT-D Tri-Motor,,CN,35.86166,104.195397,China
9,30-11-1979,9,,0,San Andres Island,Colombia,,"San Andres Island, Colombia",1,Aerolineas La Gaviola,HK-2059,,,,9,Grumman G-21 Goose,,CO,4.570868,-74.297333,Colombia
2,22-04-1927,2,,0,Floh,Germany,,"Floh, Germany",1,Deutsche Lufthansa,D-729,,Engine failure.,,2,Fokker FG III,1567,DE,51.165691,10.451526,Germany
27,01-11-1946,23,,0,St Leger-la-Montagne,France,,"St Leger-la-Montagne, France",1,CTA LanguedoRoussillon,F-BCAD,Paris - Toulouse - Casablanca,Crashed into mountains while en route. The pilot descended to lower altitiude to rid the plane of ice.,,23,AAC-1 Toucan,284,FR,46.227638,2.213749,France
13,28-02-1973,13,,0,Near Nabire,Indonesia,,"Near Nabire, Indonesia",1,Merpati Nusantara Airlines,PK-NUC,,Crashed while en route.,,13,de Havilland Canada DHC-6 Twin Otter 100,70,ID,-0.789275,113.921327,Indonesia
4,10-04-1952,4,,0,Agartala,India,,"Agartala, India",1,Kalinga Airlines,VT-DFN,,The cargo plane crashed while en route after losing an engine and attempting an emergency landing.,,4,Douglas C-47A,13628,IN,20.593684,78.96288,India
6,23-04-1933,6,,0,Mt. Terrione,Italy,,"Mt. Terrione, Italy",1,Air Orient,F-ALCE,,Crashed into a mountain.,,6,Cams 33,29,IT,41.87194,12.56738,Italy
24,26-09-1949,24,,0,Mt. Popocatepetl,Mexico,,"Mt. Popocatepetl, Mexico",1,Mexicana,XA-DUH,Tapacula - Mexico City,"Crashed into a 15,000 ft. snow covered volcano, Mt. Popocatepetl.",,24,Douglas DC-3,11725,MX,23.634501,-102.552784,Mexico
51,27-02-1988,20,,0,Surgut,Russia,,"Surgut, Russia",1,Aeroflot,CCCP-65675,Tyumen - Surgut,"The aircraft made a hard landing beside the runway, broke up and caught fire. Crew error. Visual contact with the runway was lost as the aircraft descended through the decision height.",30-12-1899 06:09:00,20,Tupolev TU-134A,1351501,RU,61.52401,105.318756,Russia
14,31-01-1978,2,,0,Eirunepe,Brazil,,"Eirunepe, Brazil",1,TABA,PT-GKW,,Crashed during takeoff.,,2,Embraer 110P Bandeirante,110128,BR,-14.235004,-51.92528,Brazil
,13-08-1935,,,,Hangow,China,,"Hangow, China",1,China National Aviation Corporation,NV40V,,Destoryed in a storm.,,,Sikorsky S-38B,,CN,35.86166,104.195397,China
1,22-08-1979,1,,3,Bogota,Colombia,,"Bogota, Colombia",1,SATENA,FAC-1101,,Illegal flight.,,4,Hawker Siddeley HS-748,1702,CO,4.570868,-74.297333,Colombia
4,08-10-1926,4,,0,Bueren,Germany,,"Bueren, Germany",1,Deutsche Lufthansa,D-468,,Weather related.,,4,Fokker FG III,1554,DE,51.165691,10.451526,Germany
26,04-09-1946,20,,1,Le Bourget,France,,"Le Bourget, France",1,Air France,F-BAXD,Paris - Croydon,Lost altitude after losing an engine on takeoff  and crashed into a factory yard.,30-12-1899 09:15:00,21,Douglas DC-3,42975,FR,46.227638,2.213749,France
9,01-02-1972,6,,0,Near Tegal,Indonesia,,"Near Tegal, Indonesia",1,PENAS,XW-PEH,,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.,,6,Douglas DC-6,43126/132,ID,-0.789275,113.921327,Indonesia
16,19-02-1952,3,,0,Nagpur,India,,"Nagpur, India",1,Deccan Airways,VT-AXE,,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach.",30-12-1899 02:23:00,3,Douglas DC-3,19160,IN,20.593684,78.96288,India
7,26-10-1929,7,,0,Off Spezia,Italy,,"Off Spezia, Italy",1,Imperial Airways,G-AADN,,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.',,7,Short Calcutta,5748,IT,41.87194,12.56738,Italy
9,28-12-1947,5,,3,Leon,Mexico,,"Leon, Mexico",1,Servicio Aéreo Panini,XA-GEE,Dorango - Leon - Mexico City,Crashed near the Leon publisquare and destroyed 3 homes. Lost an engine while taking off and was attempting to return to the airport.,30-12-1899 12:00:00,8,Douglas DC-2-172,1408,MX,23.634501,-102.552784,Mexico
31,24-01-1988,27,,0,Near Nizhnevartovsk,Russia,,"Near Nizhnevartovsk, Russia",1,Aeroflot,CCCP-87549,Nizhnevartovsk - Tyumen,"The plane stalled and crashed after a loss of engine power on takeoff. The engine throttles were reduced at  a critical stage of the takeoff for undetermined reasons, probably by the crew.",30-12-1899 16:49:00,27,Yakovlev YAK-40,9531442,RU,61.52401,105.318756,Russia
18,03-06-1977,18,,0,Natal,Brazil,,"Natal, Brazil",1,Military - Brazilian Air Force,FAB2157,,,,18,Embraer C-95 Bandeirante,110057,BR,-14.235004,-51.92528,Brazil
,10-08-1934,,,,Ningbo,China,,"Ningbo, China",1,China National Aviation Corporation,,,,,,Sikorsky S-38B,,CN,35.86166,104.195397,China
12,29-04-1978,8,,0,Bogota,Colombia,,"Bogota, Colombia",1,LAC Colombia,HK-1705,Bogota - Barranquilla,Crashed on farmland six miles outside of Bogota shortly after taking off.,,8,Douglas C-118A,43565/243,CO,4.570868,-74.297333,Colombia
4,24-07-1926,4,,0,Juist,Germany,,"Juist, Germany",1,Deutsche Lufthansa,D-272,,Weather related.,,4,Junkers F-13,660,DE,51.165691,10.451526,Germany
9,20-08-1946,8,,0,Rouen,France,,"Rouen, France",1,British Overseas Airways,G-AGMF,,Descended through clouds and crashed. Premature descent by the crew without establishing their position.  Training flight.,,8,Avro 691 Lancastrian 1,1186,FR,46.227638,2.213749,France
63,16-02-1967,22,708,0,Menado,Indonesia,,"Menado, Indonesia",1,Garuda Indonesia Airlines,PK-GLB,Jakarta - Menado via Surabaya,"Crashed on approach, landing short of the runway, collapsing the landing gear. Awkward landing technique resulting in excessive rate of sink. Contributing factors include narrow runway, uneven runway necessitating landing as close to the threshold as possible and marginal weather conditions.",30-12-1899 14:21:00,22,Lockheed L-188C Electra,2021,ID,-0.789275,113.921327,Indonesia
3,31-12-1951,3,,0,Calcutta,India,,"Calcutta, India",1,Kalinga Airlines,VT-COA,,The cargo plane crashed on takeoff.,,3,Douglas C-47A,13859/25304,IN,20.593684,78.96288,India
21,14-01-1947,21,,0,Near Puebla,Mexico,,"Near Puebla, Mexico",1,Military - Mexican Air Force,60-03,Puebla - Oaxaca,Crashed and burned moments after takeoff. Failure of the right engine.,30-12-1899 09:00:00,21,Lockheed C-60 Lodestar,,MX,23.634501,-102.552784,Mexico
9,19-10-1987,9,,0,Komsomolsk-on-Amur,Russia,,"Komsomolsk-on-Amur, Russia",1,MAP,CCCP-12162,,The plane overran the runway while attempting to take off crashed into a building and was destroyed.,,9,Antonov An-12B,9346702,RU,61.52401,105.318756,Russia
6,28-10-1976,2,,0,Near Petrolia,Brazil,,"Near Petrolia, Brazil",1,Nordeste Linhas Aéreas,PT-TBA,,,,2,Embraer 110C Bandeirante,110004,BR,-14.235004,-51.92528,Brazil
3,10-04-1934,3,,0,Ningpo Bay,China,,"Ningpo Bay, China",1,China National Aviation Corporation,NV17V,,,,3,Sikorsky S-38BB,,CN,35.86166,104.195397,China
14,27-01-1978,14,,0,Near San Vincente,Colombia,,"Near San Vincente, Colombia",1,SADELCA,HK-1351X,Neiva - San Vincente,"Struck a 7,000 ft. mountain in fog.",30-12-1899 13:50:00,14,Douglas DC-3,42958,CO,4.570868,-74.297333,Colombia
1,08-03-1926,1,,0,Staaken,Germany,,"Staaken, Germany",1,Deutche Lufthansa,,,,,1,Junkers F-13,,DE,51.165691,10.451526,Germany
3,29-06-1946,2,,0,Pau,France,,"Pau, France",1,Air France,F-BAJS,,The cargo  plane struck power lines and crashed while attempting to take off.,,2,Junkers Ju-52/3m,AAC020,FR,46.227638,2.213749,France
14,29-12-1961,14,,0,Surabaya,Indonesia,,"Surabaya, Indonesia",1,Garuda Indonesia Airlines,PK-GDZ,,,,14,Douglas DC-3,12514,ID,-0.789275,113.921327,Indonesia
17,21-11-1951,16,,0,Calcutta,India,,"Calcutta, India",1,Deccan Airways,VT-AUO,,The aircraft struck trees in fog during a missed approach 3 miles north of Dum Dum airport as the crew descended too low in poor visibility.,,16,Douglas DC-3,13265,IN,20.593684,78.96288,India
15,13-11-1946,15,,0,Near Cofre de Perote,Mexico,,"Near Cofre de Perote, Mexico",1,Empressa Commun. Aéreas de Veracruz,XA-FOZ,Mexico City - Veracruz,"Crashed into an 11,000 ft. mountain obscured by clouds.",30-12-1899 08:18:00,15,Douglas DC-3,,MX,23.634501,-102.552784,Mexico
6,04-10-1988,6,,0,Near Batagay,Russia,,"Near Batagay, Russia",1,Aeroflot,CCCP-11418,Tikis - Batagay,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.",30-12-1899 23:00:00,6,Antonov 12BP,401712,RU,61.52401,105.318756,Russia
11,22-01-1976,9,,0,Chapeco,Brazil,,"Chapeco, Brazil",1,Transbrasil,PT-TBD,,Crashed during takeoff.,,9,Embraer 110C Bandeirante,110011,BR,-14.235004,-51.92528,Brazil
8,20-11-1933,8,,,Near Tsinan,China,,"Near Tsinan, China",1,China National Aviation Corporation,,Canton - Shanghi,Crashed into the Chingshan mountain range in fog.,,,Sinson,,CN,35.86166,104.195397,China
35,10-04-1977,35,,0,SW of Bogota,Colombia,,"SW of Bogota, Colombia",1,Taxi Aereo el Venado,HK-556,Villavicencio - Bogota,Crashed on the slopes of the Rio Guape mountains. Found 1 month later. Deviation from course.,,35,Douglas DC-3-3A,4958,CO,4.570868,-74.297333,Colombia
22,10-05-1918,22,,0,Off Helgoland Island,Germany,,"Off Helgoland Island, Germany",1,Military - German Navy,,,"Shot down by British aircraft crashing from a height of 17,000 ft.",,22,Zeppelin L-70 (airship),,DE,51.165691,10.451526,Germany
11,30-01-1946,11,,0,Near Le Mans,France,,"Near Le Mans, France",1,Military - Royal Air Force,KN500,,,,11,Douglas C-47B,16277/33025,FR,46.227638,2.213749,France
26,03-02-1961,26,542,0,Off Surabaya,Indonesia,,"Off Surabaya, Indonesia",1,Garuda Indonesia Airlines,PK-GDY,Surabaya - Balikpapan,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,30-12-1899 23:55:00,26,Douglas DC-3,13052,ID,-0.789275,113.921327,Indonesia
28,15-09-1951,22,,0,Bangalore,India,,"Bangalore, India",1,Air India,VT-CCA,Bangalore - Trivandrum,Lost control and crashed when attempting to take off. Attempted to take off  with the autopilot engaged.,,22,Douglas C-47A-30-DK Dakota III,13853/25298,IN,20.593684,78.96288,India
16,11-08-1945,16,,0,Ixtaccihuati,Mexico,,"Ixtaccihuati, Mexico",1,Mexicana,XA-DOT,,Crashed in poor weather conditions.,,16,Douglas DC-2-243,2075,MX,23.634501,-102.552784,Mexico
92,20-10-1986,70,,0,Kuybyshev,Russia,,"Kuybyshev, Russia",1,Aeroflot,CCCP-65766,Yekaterinburg - Kuybyshev,The plane crashed and burst into flames after a straight-in hard landing without leveling off.,30-12-1899 15:50:00,70,Tupolev TU-134A,62327,RU,61.52401,105.318756,Russia
15,17-06-1975,1,,3,Pedro Alfonso,Brazil,,"Pedro Alfonso, Brazil",1,Varig,PP-VDN,,"The aircraft landed with excessive speed and touched down on the last 300 meters of the runway, overran the runway, crossed a street and crashed into a house.",,4,Hawker Siddeley HS-748-235 Srs. 2A,1625,BR,-14.235004,-51.92528,Brazil
3,24-11-1931,3,,0,Near Tsinan,China,,"Near Tsinan, China",1,China National Aviation Corporation,,Nanking - Peiking,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.,,3,Stinson,,CN,35.86166,104.195397,China
32,25-10-1976,32,,0,El Yopal,Colombia,,"El Yopal, Colombia",1,Taxi Aereo el Venado,HK-149,Villavicencio - Cucuta,The No. 1 engine failed and the plane crashed and burned when the left wing dropped and touched the runway.,30-12-1899 07:20:00,32,Douglas C-47DL,4593,CO,4.570868,-74.297333,Colombia
28,21-11-1916,27,,0,Mainz,Germany,,"Mainz, Germany",1,Military - German Army,,,Crashed in a storm.,,27,Super Zeppelin (airship),,DE,51.165691,10.451526,Germany
25,15-01-1946,23,,0,Marseilles,France,,"Marseilles, France",1,Military -Royal Air Force,KN557,,Crashed into a mountainside in a snowstorm.,30-12-1899 18:25:00,23,Douglas C-47 Dakota,33171,FR,46.227638,2.213749,France
21,24-01-1961,21,424,0,Mt. Burangrang,Indonesia,,"Mt. Burangrang, Indonesia",1,Garuda Indonesia Airlines,PK-GDI,Jakarta - Bandung,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,30-12-1899 02:48:00,21,Douglas DC-3,19672,ID,-0.789275,113.921327,Indonesia
3,12-07-1951,3,,0,Near Tezpur,India,,"Near Tezpur, India",1,Indamer,VT-CHT,,Cargo plane.,,3,Douglas C-47B,20662,IN,20.593684,78.96288,India
12,01-08-1945,12,,0,Near San Luis Potosi,Mexico,,"Near San Luis Potosi, Mexico",1,Lineas Aereas Mineras,XA-DUY,,Crashed into mountainous terrain.,,12,Boeing 247D,1723,MX,23.634501,-102.552784,Mexico
94,02-07-1986,54,,0,Near Syktyvar,Russia,,"Near Syktyvar, Russia",1,Aeroflot,CCCP-65120,,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,30-12-1899 10:27:00,54,Tupolev TU-134A,60482,RU,61.52401,105.318756,Russia
15,27-02-1975,15,,0,Near Sao Paulo,Brazil,,"Near Sao Paulo, Brazil",1,VASP,PP-SBE,Sao Paulo - Bauru,"The plane crashed into houses after taking off and burst into flames. The plane had engine trouble, attempted to return to the airport when it crashed into the houses.",,15,Embraer 110C Bandeirante,110021,BR,-14.235004,-51.92528,Brazil
6,09-12-1930,4,,0,Shanghai,China,,"Shanghai, China",1,China National Aviation Corporation,,Shanghai - Hankow,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'.,,4,Loening C-W Air Yaht,,CN,35.86166,104.195397,China
16,02-04-1976,5,,0,Near Puerto Asis,Colombia,,"Near Puerto Asis, Colombia",1,SATENA,FAC-676,Florencia - Puerto Asis,Crashed into a lake while on approach.,,5,Douglas DC-3,,CO,4.570868,-74.297333,Colombia
19,03-09-1915,19,,0,Off Cuxhaven,Germany,,"Off Cuxhaven, Germany",1,Military - German Navy,,,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",30-12-1899 15:20:00,19,Zeppelin L-10 (airship),,DE,51.165691,10.451526,Germany
28,03-12-1945,28,,0,Near Rochefort,France,,"Near Rochefort , France",1,Military -Royal Air Force,KH125,"India - Cambridge, England",Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.,30-12-1899 13:30:00,28,Consolidated LB-30A Liberator,,FR,46.227638,2.213749,France
2,24-12-1959,1,330,0,Palembang,Indonesia,,"Palembang, Indonesia",1,Garuda Indonesia Airlines,PK-GDV,,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.",30-12-1899 05:00:00,1,Douglas C-47A,13535,ID,-0.789275,113.921327,Indonesia
21,13-12-1950,21,,0,Katagiri,India,,"Katagiri, India",1,Air India,VT-CFK,,Flew into a mountain due to a navigational error.,,21,Douglas DC-3,14604/2604,IN,20.593684,78.96288,India
6,05-05-1938,1,,0,Balbuena,Mexico,,"Balbuena, Mexico",1,Lineas Aéreas Mineras,XA-BFR,Mexico City - Juarez,Crashed en route,,1,Lockheed Vega 5B,124,MX,23.634501,-102.552784,Mexico
59,22-06-1986,1,,0,Penza,Russia,,"Penza,  Russia",1,Aeroflot,CCCP-65142,Penza - Simferopol,The aircraft overan the runway after an aborted takeoff. Passenger died of heart attack.,30-12-1899 21:35:00,1,Tupolev TU-134A,60955,RU,61.52401,105.318756,Russia
65,23-10-1973,8,,0,Guanabara Bay,Brazil,,"Guanabara Bay, Brazil",1,VASP,PP-SMJ,Rio de Janeiro - Belo Horizonte,"The takeoff from Santos Dumont airport was aborted after a loss of power occurred before the V1 speed was reached. Due to poor braking action, emergency brakes were applied. The pilot-in-command retracted the landing gear after it was apparent an overrun was imminent. The aircraft slid into Guanabara Bay.",,8,NAMC YS-11A-211,2068,BR,-14.235004,-51.92528,Brazil
3,04-02-1976,3,,0,Off Santa Maria,Colombia,,"Off Santa Maria, Colombia",1,LAC Colombia,HK-1389,Santa Maria - Curacao,The cargo plane crashed into the ocean. Engine failure.,,3,Douglas DC-6A,43519/221,CO,4.570868,-74.297333,Colombia
26,07-10-1945,26,,0,Rennes,France,,"Rennes, France",1,Military - Royal Air Force,LJ668,London - Cairo,Lost altitude while in a turn and attempting to land and crashed and burned.,30-12-1899 00:30:00,26,Short Stirling IV,,FR,46.227638,2.213749,France
68,16-07-1957,58,844,0,Near Biak,Indonesia,,"Near Biak, Indonesia",1,KLM Royal Dutch Airlines,PH-LKT,Mokmer - Manila,"The pilot asked for clearance to make a low pass over Mokmer to give the passengers a final glimpse of the island. The plane gradually descended over the sea, crashed, burst into flames, broke apart and sank. Crew did not properly monitor their altitude.",30-12-1899 03:36:00,58,Lockheed 1049C Super Constellation,4504,ID,-0.789275,113.921327,Indonesia
22,17-07-1950,22,,0,Near Patharkot,India,,"Near Patharkot, India",1,Indian National Airlines,VT-ATS,Delhi - Sringagar,The left wing separated from the plane in extreme turbulence from a thunderstorm.,,22,Douglas DC-3,20359,IN,20.593684,78.96288,India
2,09-02-1938,2,,0,Guadalupe,Mexico,,"Guadalupe, Mexico",1,Mexicana,XA-BAS,Test flight,Crashed on a second test flight.,,2,Lockheed 10 Electra,,MX,23.634501,-102.552784,Mexico
38,02-03-1986,38,,0,Near Bugulma,Russia,,"Near Bugulma, Russia",1,Aeroflot,CCCP-46423,,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",30-12-1899 03:03:00,38,Antonov AN-24B,07304108,RU,61.52401,105.318756,Russia
9,30-09-1973,9,,0,Miritituba,Brazil,,"Miritituba, Brazil",1,Aeronorte,PT-CEV,,"The crew started the takeoff roll at a point 200m down the runway, with a runway distance remaining of 1080m. After taking off, the DC-3 climbed slowly, entered a right turn, stalled and crashed in flames.  Power loss on one or both engines, due to maintenance deficiencies or fuel contamination.",,9,Douglas DC-3A,20182,BR,-14.235004,-51.92528,Brazil
13,15-01-1976,13,,0,Near Bogota,Colombia,,"Near Bogota, Colombia",1,Taxi Aereo el Venado,HK-172,Bogota - La Macarene,"Hit an 11,620 ft. mountain in poor weather.",,13,Douglas C-54A,10280,CO,4.570868,-74.297333,Colombia
31,09-05-1945,31,,0,Roye,France,,"Roye, France",1,Military -Royal Air Force,RF230,England - Brussels,The aircraft went in to a spin and crashed in a wooded area and caught fire.,30-12-1899 01:30:00,31,Avro Lancaster,,FR,46.227638,2.213749,France
23,17-11-1950,2,,0,Surabaya,Indonesia,,"Surabaya, Indonesia",1,Garuda Indonesia Airlines,PK-DPB,,Veered off the runway and crashed into a ditch..,,2,Douglas DC-3,19005,ID,-0.789275,113.921327,Indonesia
3,05-04-1950,3,,0,Hatiara,India,,"Hatiara, India",1,Deccan Airways,VT-CJD,,The cargo plane lost an engine on takeoff and attempted an emergency return but crashed. Overloaded.,,3,Douglas C-47A,12826,IN,20.593684,78.96288,India
14,26-03-1936,14,,0,Amemeca,Mexico,,"Amemeca, Mexico",1,Compania de Mexico,X-ABCO,Mexico - Guatemala,Crashed into mountains and caught fire.  The plane was carrying mainly German tourists.,,14,Ford 5-AT-B Tri Motor,5-AT-115,MX,23.634501,-102.552784,Mexico
57,18-10-1989,57,,0,Nasosny,Russia,,"Nasosny, Russia",1,Military - Russian Air Force,CCCP-76569,,Crashed into the Caspian sea after reporting an engine fire.,,57,Ilyushin IL-76MD,33448421,RU,61.52401,105.318756,Russia
4,09-06-1973,2,,0,Rio de Janeiro,Brazil,,"Rio de Janeiro, Brazil",1,Varig,PP-VLJ,,The cargo plane was making an instrument approach to Runway 14 with the speed brake lever at 45 degrees and inboard spoilers deactivated when it was noted that the spoiler switch cover was open. The captain or copilot then closed the spoiler switch cover and activated the inboard spoiler causing the aircraft to pitch down. The plane descended from a height of about 70 meters and struck approach lights.,,2,Boeing 707-327C,19106/502,BR,-14.235004,-51.92528,Brazil
4,30-09-1975,4,,0,Barranquilla,Colombia,,"Barranquilla, Colombia",1,AVIANCA,HK-1272,Bogota - Barranquilla,The cargo plane struck trees and broke up on a second landing attempt in poor weather.,,4,Boeing 727-24C,19525/439,CO,4.570868,-74.297333,Colombia
9,27-09-1944,9,,0,Near Dijon,France,,"Near Dijon, France",1,Deutsche Lufthansa,D-AMHL,Stuttgart - Barcelona,Missing on a flight from France to Spain. Shot down by an American Bristol Beau allied night fighter.,30-12-1899 20:30:00,9,Focke-Wulf FW 200,20,FR,46.227638,2.213749,France
11,23-01-1945,11,,0,Timor,Indonesia,,"Timor, Indonesia",1,Military - Royal Australian Air Force,A72-70,,,,11,Consolidated Liberator,,ID,-0.789275,113.921327,Indonesia
45,12-07-1949,45,,0,Near Bombay,India,,"Near Bombay, India",1,KLM Royal Dutch Airlines,PH-TDF,Delhi - Bombay,"While circling in a blinding monsoon rainstorm, the aircraft crashed into 674 ft. high Ghatkopar hill, 3 miles ENE of the airport. Crew error. Pilots decision to land in weather below prescribed minimums in an area he was not familiar with.",30-12-1899 03:50:00,45,Lockheed L-749-79-33 Constellation,2558,IN,20.593684,78.96288,India
110,23-12-1984,110,3519,0,Near Kranoyarsk,Russia,,"Near Kranoyarsk, Russia",1,Aeroflot,CCCP-85338,,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.,30-12-1899 18:10:00,110,Tupolev TU-154B-2,338,RU,61.52401,105.318756,Russia
23,01-06-1973,23,,0,Sao Luis,Brazil,,"Sao Luis, Brazil",1,Cruzeiro,PP-PDX,Belem - Sao Luis,"While on a go-around the aircraft attained a nose up attitude, stalled and crashed. Loss of power in the No.1 engine at a critical stage of the landing.",,23,Sud Aviation SE-210 Caravelle VIN,126/127,BR,-14.235004,-51.92528,Brazil
4,10-07-1975,2,,0,Bogota,Colombia,,"Bogota, Colombia",1,Aerovias Condor,HK-1976,Bogota  - Barranquilla,The cargo plane barely took off when it settled back on the runway and crashed into a DC-6. Both planes destroyed.,,2,Lockheed L-188AF Electra,1087,CO,4.570868,-74.297333,Colombia
22,06-06-1944,22,,0,Barneville,France,,"Barneville, France",1,Military - U.S. Army Air Forces,42-93095,,Shot down by anti-aircraft fire during the Normandy invasion.,30-12-1899 01:15:00,22,Douglas C-47A,112969,FR,46.227638,2.213749,France
11,20-01-1942,11,,0,Manado,Indonesia,,"Manado, Indonesia",1,Military - Royal Australian Air Force,A16-79,,,,11,Lockheed Hudson,,ID,-0.789275,113.921327,Indonesia
13,16-01-1949,13,,0,Balihal Pass,India,,"Balihal Pass, India",1,Dalmia Jain Airways,VT-CDZ,,,,13,Douglas DC-3,14145/25590,IN,20.593684,78.96288,India
179,11-10-1984,174,3352,4,Near Omsk,Russia,,"Near Omsk, Russia",1,Aeroflot,CCCP-85243,Krasnodar - Omsk,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway.",30-12-1899 05:40:00,178,Tupolev TU-154B,243,RU,61.52401,105.318756,Russia
18,29-05-1972,9,,0,Cruzeiro do Sul Acre,Brazil,,"Cruzeiro do Sul Acre, Brazil",1,Amazonese Importacao e Exportacao,PP-PDG,,"Cashed into trees shortly after taking off after two engines failed. Refueling directly from the trucks, without allowing sufficient time for the fuel to settle.",,9,Lockheed 049 Constellation,2037,BR,-14.235004,-51.92528,Brazil
3,30-06-1975,3,,0,Near Saravena,Colombia,,"Near Saravena, Colombia",1,Taxi Aereo El Venado,HK-1309,Cucuta - Tame,The cargo plane crashed en route.,30-12-1899 19:30:00,3,Douglas DC-4,10403,CO,4.570868,-74.297333,Colombia
22,06-06-1944,22,,0,Flamanville,France,,"Flamanville, France",1,Military - U.S. Army Air Forces,42-100905,,Shot down by anti-aircraft fire during the Normandy invasion.,30-12-1899 02:00:00,22,Douglas C-47A,19368,FR,46.227638,2.213749,France
